gene_id	gene_name	entrezid	gene_biotype	gene_seq_start	gene_seq_end	seq_name	seq_strand	seq_coord_system
ENSG00000169789	PRY	442862;100509646;9081	protein_coding	24636544	24660784	Y	1	chromosome
ENSG00000169800	RBMY1F	159163;378951	protein_coding	24314689	24329129	Y	-1	chromosome
ENSG00000169807	PRY2	442862;100509646;9081	protein_coding	24217903	24242154	Y	-1	chromosome
ENSG00000169811	RBMY1HP		pseudogene	23655405	23663854	Y	1	chromosome
ENSG00000169849	TSPY14P		pseudogene	23630044	23632569	Y	1	chromosome
ENSG00000169953	HSFY2	159119;86614	protein_coding	20893326	20990548	Y	-1	chromosome
ENSG00000172283	PRYP4		pseudogene	28121660	28134216	Y	1	chromosome
ENSG00000172288	CDY1	9085;253175	protein_coding	27768264	27771049	Y	1	chromosome
ENSG00000172294	CSPG4P4Y	114758	pseudogene	27624416	27632852	Y	1	chromosome
ENSG00000172297	GOLGA2P3Y	401634;84559	pseudogene	27600708	27606719	Y	1	chromosome
ENSG00000172332	AC012005.2	401634;84559	pseudogene	26355714	26361728	Y	-1	chromosome
ENSG00000172342	CSPG4P3Y		pseudogene	26332656	26338017	Y	-1	chromosome
ENSG00000172352	CDY1B	9085;253175	protein_coding	26191376	26194166	Y	-1	chromosome
ENSG00000172468	HSFY1	159119;86614	protein_coding	20708557	20750849	Y	1	chromosome
ENSG00000173357	AC007967.3		pseudogene	8774265	8784114	Y	1	chromosome
ENSG00000176679	TGIF2LY	90655	protein_coding	3447082	3448082	Y	1	chromosome
ENSG00000176728	TTTY14	55410;83869	lincRNA	21034387	21239302	Y	-1	chromosome
ENSG00000180910	TTTY11	83866	lincRNA	8651351	8685423	Y	-1	chromosome
ENSG00000182415	CDY2A	9085;9426;203611;253175	protein_coding	20137667	20140477	Y	1	chromosome
ENSG00000183146	CYorf17	100533178	protein_coding	23544840	23548246	Y	-1	chromosome
ENSG00000183385	TTTY8	84673;100101118	lincRNA	9528709	9531566	Y	1	chromosome
ENSG00000183704	SLC9B1P1		protein_coding	13496241	13524717	Y	-1	chromosome
ENSG00000183753	BPY2	442867;9083;442868	protein_coding	25119966	25151612	Y	1	chromosome
ENSG00000183795	BPY2B	442867;9083;442868	protein_coding	26753707	26785354	Y	1	chromosome
ENSG00000183878	UTY	7404	protein_coding	15360259	15592553	Y	-1	chromosome
ENSG00000184895	SRY	6736	protein_coding	2654896	2655740	Y	-1	chromosome
ENSG00000184991	TTTY13	83868	lincRNA	23745486	23756552	Y	-1	chromosome
ENSG00000185275	CD24P4		pseudogene	21154353	21154595	Y	-1	chromosome
ENSG00000185700	TTTY8B	84673;100101118	lincRNA	6338814	6341671	Y	-1	chromosome
ENSG00000185894	BPY2C	442867;9083;442868	protein_coding	27177048	27208695	Y	-1	chromosome
ENSG00000187191	DAZ3	57054;57055	protein_coding	26909216	26959626	Y	-1	chromosome
ENSG00000187657	TSPY13P		pseudogene	9743204	9745748	Y	-1	chromosome
ENSG00000188120	DAZ1	57135;1617	protein_coding	25275502	25345241	Y	-1	chromosome
ENSG00000188399	ANKRD36P1		pseudogene	28555962	28566682	Y	1	chromosome
ENSG00000188656	TSPY7P		pseudogene	9215731	9218480	Y	1	chromosome
ENSG00000197038	RBMY1A3P	286557	pseudogene	9148739	9160483	Y	-1	chromosome
ENSG00000197092	GOLGA6L16P		pseudogene	27641798	27648105	Y	-1	chromosome
ENSG00000198692	EIF1AY	9086;101060318	protein_coding	22737611	22755040	Y	1	chromosome
ENSG00000205916	DAZ4	57055;57135;1617	protein_coding	26980008	27053183	Y	1	chromosome
ENSG00000205936	PPP1R12BP2		pseudogene	25525631	25538844	Y	1	chromosome
ENSG00000205944	DAZ2	57055;57135;1617	protein_coding	25365594	25437503	Y	1	chromosome
ENSG00000206159	GYG2P1	352887	pseudogene	14475147	14532255	Y	-1	chromosome
ENSG00000212855	TTTY2		lincRNA	9578193	9596085	Y	1	chromosome
ENSG00000212856	TTTY2B		lincRNA	6274285	6292186	Y	-1	chromosome
ENSG00000214207	KRT18P10		pseudogene	5441186	5442472	Y	1	chromosome
ENSG00000215414	PSMA6P1	5687	pseudogene	15398518	15399258	Y	1	chromosome
ENSG00000215506	TPTE2P4		pseudogene	28654360	28725837	Y	1	chromosome
ENSG00000215507	RBMY2DP		pseudogene	28269821	28279455	Y	1	chromosome
ENSG00000215537	ZNF736P11Y		pseudogene	25012691	25013903	Y	-1	chromosome
ENSG00000215540	AC009947.3		pseudogene	25683455	25693089	Y	-1	chromosome
ENSG00000215560	TTTY5	83863	lincRNA	24442945	24445023	Y	-1	chromosome
ENSG00000215580	BCORP1	286554	pseudogene	21617317	21665039	Y	-1	chromosome
ENSG00000215583	ASS1P6		pseudogene	14043242	14044475	Y	-1	chromosome
ENSG00000215601	TSPY24P		pseudogene	8148239	8150250	Y	1	chromosome
ENSG00000215603	ZNF92P1Y		pseudogene	7721727	7722917	Y	-1	chromosome
ENSG00000216777	PRRC2CP1		pseudogene	3417693	3417851	Y	-1	chromosome
ENSG00000216824	ZNF736P10Y		pseudogene	8286832	8287941	Y	-1	chromosome
ENSG00000216844	AC009494.3		pseudogene	23005142	23005596	Y	-1	chromosome
ENSG00000217179	MTCYBP2		pseudogene	21033988	21034158	Y	1	chromosome
ENSG00000217896	ZNF839P1		pseudogene	21147061	21148284	Y	1	chromosome
ENSG00000218410	AC012078.2		pseudogene	3719265	3720910	Y	-1	chromosome
ENSG00000223362	CDY15P		pseudogene	26001669	26003238	Y	-1	chromosome
ENSG00000223406	XKRYP5		pseudogene	27898535	27899017	Y	1	chromosome
ENSG00000223407	USP9YP18		pseudogene	25805613	25813969	Y	-1	chromosome
ENSG00000223422	AC007274.2		pseudogene	7546940	7549069	Y	1	chromosome
ENSG00000223517	AC010723.1		lincRNA	16388092	16389369	Y	-1	chromosome
ENSG00000223555	USP9YP23		pseudogene	19894090	19896695	Y	1	chromosome
ENSG00000223600	EEF1A1P41		pseudogene	2863108	2863314	Y	-1	chromosome
ENSG00000223636	UBE2Q2P5Y		pseudogene	27577303	27583462	Y	1	chromosome
ENSG00000223637	RBMY2EP	159125	pseudogene	23556877	23563471	Y	-1	chromosome
ENSG00000223641	TTTY17C	474152;474151;252949	lincRNA	27329790	27330920	Y	-1	chromosome
ENSG00000223655	RAB9AP3		pseudogene	28064470	28065042	Y	-1	chromosome
ENSG00000223698	GOLGA6L11P		pseudogene	26314334	26320641	Y	1	chromosome
ENSG00000223744	RBMY2GP		pseudogene	6196093	6211364	Y	1	chromosome
ENSG00000223856	RAB9AP2		pseudogene	27856055	27859704	Y	-1	chromosome
ENSG00000223915	DPPA2P1		pseudogene	15342765	15343320	Y	1	chromosome
ENSG00000223955	MTND6P1		pseudogene	8231577	8232000	Y	-1	chromosome
ENSG00000223978	ZNF736P1Y		pseudogene	27131348	27132623	Y	-1	chromosome
ENSG00000224033	CDY8P		pseudogene	20134179	20135788	Y	1	chromosome
ENSG00000224035	SFPQP1		pseudogene	15195704	15207719	Y	1	chromosome
ENSG00000224060	ARSEP1		pseudogene	14460540	14468226	Y	1	chromosome
ENSG00000224075	TTTY22	252954	lincRNA	9638762	9650854	Y	1	chromosome
ENSG00000224151	USP9YP28		pseudogene	20994888	21001199	Y	-1	chromosome
ENSG00000224166	PRYP1		pseudogene	19841408	19856476	Y	-1	chromosome
ENSG00000224169	HSFY6P		pseudogene	25803986	25805205	Y	-1	chromosome
ENSG00000224210	TRIM60P5Y		pseudogene	26640856	26641730	Y	-1	chromosome
ENSG00000224240	CYCSP49		pseudogene	28695572	28695890	Y	1	chromosome
ENSG00000224336	FAM197Y1		protein_coding	9374241	9384693	Y	-1	chromosome
ENSG00000224408	USP9YP22		pseudogene	9021303	9023412	Y	1	chromosome
ENSG00000224482	HSFY4P		pseudogene	22970662	22973695	Y	-1	chromosome
ENSG00000224485	USP9YP7		pseudogene	20020635	20022686	Y	1	chromosome
ENSG00000224518	AC006989.2		pseudogene	17053626	17054595	Y	1	chromosome
ENSG00000224571	USP9YP13		pseudogene	26066052	26067657	Y	1	chromosome
ENSG00000224634	ZNF736P6Y		pseudogene	8218972	8220184	Y	1	chromosome
ENSG00000224657	RBMY2BP		pseudogene	24795392	24805025	Y	1	chromosome
ENSG00000224827	LINC00265-2P		pseudogene	26422392	26423173	Y	1	chromosome
ENSG00000224866	USP9YP25		pseudogene	25880340	25882396	Y	1	chromosome
ENSG00000224873	CDY13P		pseudogene	24666828	24667842	Y	-1	chromosome
ENSG00000224917	AC016694.2		pseudogene	24816763	24819006	Y	-1	chromosome
ENSG00000224953	SRIP3		pseudogene	6587003	6587221	Y	-1	chromosome
ENSG00000224964	TRAPPC2P3		pseudogene	19909863	19912576	Y	-1	chromosome
ENSG00000224989	FAM41AY1	340618;100302526	lincRNA	19612838	19626898	Y	1	chromosome
ENSG00000225117	ARSDP1		pseudogene	14474827	14499123	Y	1	chromosome
ENSG00000225189	REREP1Y		pseudogene	25608612	25618427	Y	1	chromosome
ENSG00000225256	TRAPPC2P5		pseudogene	27845598	27848709	Y	1	chromosome
ENSG00000225287	OFD1P13Y		pseudogene	27821207	27843493	Y	-1	chromosome
ENSG00000225326	USP9YP19		pseudogene	27894743	27896353	Y	-1	chromosome
ENSG00000225466	OFD1P10Y		pseudogene	25727742	25760787	Y	1	chromosome
ENSG00000225491	UBE2Q2P4Y		pseudogene	26378973	26385131	Y	-1	chromosome
ENSG00000225516	AC006156.1		protein_coding	9293012	9344176	Y	-1	chromosome
ENSG00000225520	TTTY16	252948	lincRNA	7567398	7569288	Y	-1	chromosome
ENSG00000225560	FAM197Y8	252946;100287826;100289150	antisense	9185120	9193010	Y	-1	chromosome
ENSG00000225609	CDY20P		pseudogene	27764791	27766400	Y	1	chromosome
ENSG00000225615	RBMY2UP		pseudogene	24344576	24349859	Y	1	chromosome
ENSG00000225624	TBL1YP1		pseudogene	22889140	22904786	Y	1	chromosome
ENSG00000225653	RNF19BPY		pseudogene	3646038	3647587	Y	-1	chromosome
ENSG00000225685	TSPY5P		pseudogene	9904163	9906760	Y	-1	chromosome
ENSG00000225716	TCEB1P13		pseudogene	20602683	20603011	Y	1	chromosome
ENSG00000225740	TCEB1P6		pseudogene	19949081	19949408	Y	-1	chromosome
ENSG00000225809	RBMY2KP		pseudogene	8132490	8145229	Y	-1	chromosome
ENSG00000225840	AC010970.2		pseudogene	10036113	10036711	Y	-1	chromosome
ENSG00000225876	AC024067.1		pseudogene	28390498	28390720	Y	-1	chromosome
ENSG00000225878	SERBP1P2		pseudogene	4669726	4670889	Y	-1	chromosome
ENSG00000225895	TRAPPC2P8		pseudogene	20267200	20269988	Y	1	chromosome
ENSG00000225896	AC007742.3		pseudogene	19838632	19838960	Y	1	chromosome
ENSG00000226011	OFD1P1Y		pseudogene	19921687	19937209	Y	1	chromosome
ENSG00000226042	CDY10P		pseudogene	23799361	23800927	Y	-1	chromosome
ENSG00000226061	PCMTD1P1		pseudogene	10011462	10011816	Y	1	chromosome
ENSG00000226092	RBMY2AP		pseudogene	24073668	24083297	Y	-1	chromosome
ENSG00000226116	USP9YP6		pseudogene	20024579	20033510	Y	-1	chromosome
ENSG00000226223	TSPY16P		pseudogene	9477858	9478325	Y	-1	chromosome
ENSG00000226270	ZNF736P2Y		pseudogene	26829804	26831082	Y	1	chromosome
ENSG00000226353	TAF9P1		pseudogene	19740393	19741282	Y	1	chromosome
ENSG00000226362	FAM41AY2	340618;100302526	lincRNA	20552880	20566932	Y	-1	chromosome
ENSG00000226369	USP9YP11		pseudogene	26081100	26086248	Y	1	chromosome
ENSG00000226449	CDY5P		pseudogene	19833478	19835057	Y	1	chromosome
ENSG00000226504	TMEM167AP1		pseudogene	23069230	23069448	Y	-1	chromosome
ENSG00000226529	MTND1P1		pseudogene	8239704	8240071	Y	1	chromosome
ENSG00000226555	AGKP1		pseudogene	16750976	16752238	Y	1	chromosome
ENSG00000226611	OFD1P2Y		pseudogene	20242567	20258088	Y	-1	chromosome
ENSG00000226863	SHROOM2P1		pseudogene	14649708	14656818	Y	1	chromosome
ENSG00000226873	CDY14P		pseudogene	25820526	25821539	Y	1	chromosome
ENSG00000226906	TTTY4	474149;474150;114761	lincRNA	25082602	25119431	Y	1	chromosome
ENSG00000226918	AC010086.1		pseudogene	23473154	23480781	Y	1	chromosome
ENSG00000226941	RBMY1J	378949;5940;378950;159163;378948;378951	protein_coding	24454970	24564028	Y	1	chromosome
ENSG00000226975	AC006987.6		pseudogene	10007397	10007923	Y	-1	chromosome
ENSG00000227166	STSP1		pseudogene	17659096	17705211	Y	1	chromosome
ENSG00000227204	RBMY2JP		pseudogene	7995171	8012244	Y	1	chromosome
ENSG00000227251	TRIM60P9Y		pseudogene	25204177	25205333	Y	1	chromosome
ENSG00000227289	HSFY3P		pseudogene	2749724	2751693	Y	-1	chromosome
ENSG00000227439	TTTY17B	474152;474151;252949	lincRNA	26631479	26632610	Y	1	chromosome
ENSG00000227444	AC007322.5		pseudogene	24065082	24067253	Y	1	chromosome
ENSG00000227447	XGPY		pseudogene	14551845	14619171	Y	-1	chromosome
ENSG00000227494	USP9YP14		pseudogene	20642973	20649286	Y	1	chromosome
ENSG00000227629	SLC25A15P1		pseudogene	28732789	28737748	Y	-1	chromosome
ENSG00000227633	RBMY2YP		pseudogene	27412731	27419678	Y	1	chromosome
ENSG00000227635	USP9YP21		pseudogene	28079980	28082028	Y	-1	chromosome
ENSG00000227830	TRIM60P3Y		pseudogene	8281078	8282095	Y	-1	chromosome
ENSG00000227837	TRIM60P11Y		pseudogene	26837938	26839079	Y	1	chromosome
ENSG00000227867	TCEB1P11		pseudogene	28137388	28137719	Y	-1	chromosome
ENSG00000227871	USP9YP12		pseudogene	26092074	26098440	Y	-1	chromosome
ENSG00000227915	TCEB1P16		pseudogene	25824651	25824982	Y	1	chromosome
ENSG00000227949	CYCSP46		pseudogene	17053427	17053630	Y	-1	chromosome
ENSG00000227989	AC010141.8		pseudogene	23717738	23719956	Y	-1	chromosome
ENSG00000228193	TCEB1P14		pseudogene	20949636	20949966	Y	1	chromosome
ENSG00000228207	AC007967.2		pseudogene	8769244	8771317	Y	-1	chromosome
ENSG00000228240	TTTY17A	474152;474151;252949	lincRNA	24997731	24998862	Y	1	chromosome
ENSG00000228257	AC010141.6		pseudogene	23693725	23695897	Y	-1	chromosome
ENSG00000228296	TTTY4C	474149;474150;114761	lincRNA	27209230	27246039	Y	-1	chromosome
ENSG00000228379	AC010891.2		lincRNA	9650924	9655122	Y	1	chromosome
ENSG00000228383	FAM197Y7	252946;100287826;100289150	antisense	9205412	9235047	Y	-1	chromosome
ENSG00000228411	CDY4P		pseudogene	14913906	14915763	Y	-1	chromosome
ENSG00000228465	TRAPPC2P10		pseudogene	26113711	26116841	Y	-1	chromosome
ENSG00000228518	SURF6P1		pseudogene	19304706	19305532	Y	1	chromosome
ENSG00000228571	HSFY7P		pseudogene	24683194	24683996	Y	1	chromosome
ENSG00000228578	TUBB1P2		pseudogene	19628716	19630918	Y	-1	chromosome
ENSG00000228764	ZNF885P		pseudogene	22551937	22558682	Y	1	chromosome
ENSG00000228786	LINC00266-4P		lincRNA	27524447	27540866	Y	-1	chromosome
ENSG00000228787	NLGN4Y-AS1	100874056	antisense	16905522	16915913	Y	-1	chromosome
ENSG00000228850	CDY12P		pseudogene	24210845	24211859	Y	1	chromosome
ENSG00000228890	TTTY21	252953;100101115	lincRNA	9555262	9558905	Y	-1	chromosome
ENSG00000228927	TSPY3	728137;100289087;7258	protein_coding	9236030	9307357	Y	1	chromosome
ENSG00000228945	CLUHP2		pseudogene	20442064	20446647	Y	1	chromosome
ENSG00000229129	ACTG1P2		pseudogene	19868881	19870005	Y	-1	chromosome
ENSG00000229138	CDY6P		pseudogene	19993979	19995588	Y	-1	chromosome
ENSG00000229159	TSPY23P		pseudogene	24329997	24332168	Y	1	chromosome
ENSG00000229163	NAP1L1P2		pseudogene	2797042	2799161	Y	-1	chromosome
ENSG00000229208	RBMY2NP		pseudogene	9669027	9684305	Y	-1	chromosome
ENSG00000229234	RBMY1KP		pseudogene	24355478	24362727	Y	1	chromosome
ENSG00000229236	TTTY10	246119	lincRNA	22627554	22681114	Y	-1	chromosome
ENSG00000229238	PPP1R12BP1		pseudogene	28424070	28500565	Y	-1	chromosome
ENSG00000229250	USP9YP31		pseudogene	26227851	26236493	Y	-1	chromosome
ENSG00000229302	TAF9P2		pseudogene	20438493	20439381	Y	-1	chromosome
ENSG00000229308	AC010084.1		lincRNA	3904538	3968361	Y	1	chromosome
ENSG00000229343	CDY22P		pseudogene	27959160	27960713	Y	1	chromosome
ENSG00000229406	OFD1P4Y		pseudogene	20615036	20634023	Y	-1	chromosome
ENSG00000229416	USP9YP8		pseudogene	23839132	23843004	Y	-1	chromosome
ENSG00000229465	ACTG1P11		pseudogene	20309770	20310894	Y	1	chromosome
ENSG00000229518	UBE2V1P3		pseudogene	3734347	3734763	Y	-1	chromosome
ENSG00000229549	TSPY8	728403	protein_coding	9195406	9218479	Y	1	chromosome
ENSG00000229551	GAPDHP17		pseudogene	23023223	23024223	Y	1	chromosome
ENSG00000229553	USP9YP17		pseudogene	24195902	24204260	Y	-1	chromosome
ENSG00000229643	LINC00280		lincRNA	6225260	6229454	Y	-1	chromosome
ENSG00000229709	USP9YP36		pseudogene	27725937	27734591	Y	1	chromosome
ENSG00000229725	AC007322.1		pseudogene	24017478	24019697	Y	1	chromosome
ENSG00000229745	BPY2DP		pseudogene	7801038	7805681	Y	-1	chromosome
ENSG00000229940	TSPY22P		pseudogene	24452072	24454098	Y	-1	chromosome
ENSG00000230025	AC007967.4		pseudogene	8839792	8842136	Y	-1	chromosome
ENSG00000230029	CDY11P		pseudogene	23858456	23860106	Y	1	chromosome
ENSG00000230066	FAM197Y3		antisense	9334896	9342768	Y	-1	chromosome
ENSG00000230073	AC009947.2		pseudogene	25669468	25671516	Y	1	chromosome
ENSG00000230377	TCEB1P7		pseudogene	20694212	20694542	Y	-1	chromosome
ENSG00000230412	TCEB1P12		pseudogene	20230369	20230696	Y	1	chromosome
ENSG00000230458	GPM6BP1		pseudogene	20740303	20740446	Y	1	chromosome
ENSG00000230476	OFD1P9Y		pseudogene	24727136	24760228	Y	-1	chromosome
ENSG00000230663	FAM224B		lincRNA	19664680	19691634	Y	-1	chromosome
ENSG00000230727	RBMY2WP		pseudogene	24908998	24915934	Y	-1	chromosome
ENSG00000230814	USP9YP24		pseudogene	24674428	24682786	Y	1	chromosome
ENSG00000230819	ZNF736P5Y		pseudogene	27164646	27165450	Y	-1	chromosome
ENSG00000230854	USP9YP20		pseudogene	28069535	28075973	Y	1	chromosome
ENSG00000230904	XKRYP2		pseudogene	20973224	20973715	Y	-1	chromosome
ENSG00000230977	AC023274.6		pseudogene	26328624	26329218	Y	1	chromosome
ENSG00000231026	XKRYP4		pseudogene	26063388	26063870	Y	-1	chromosome
ENSG00000231141	TTTY3	114760;474148	lincRNA	27874637	27879535	Y	1	chromosome
ENSG00000231159	OFD1P8Y		pseudogene	24118460	24151496	Y	1	chromosome
ENSG00000231311	PRYP2		pseudogene	20323252	20338370	Y	1	chromosome
ENSG00000231341	VDAC1P6		pseudogene	5075256	5076110	Y	-1	chromosome
ENSG00000231375	CDY17P		pseudogene	26196025	26197634	Y	-1	chromosome
ENSG00000231411	AC006987.7		pseudogene	10009199	10010334	Y	-1	chromosome
ENSG00000231423	RAB9AP5		pseudogene	26102716	26106365	Y	1	chromosome
ENSG00000231436	RBMY3AP		pseudogene	9448180	9458885	Y	-1	chromosome
ENSG00000231514	FAM58CP		pseudogene	28772667	28773306	Y	-1	chromosome
ENSG00000231535	LINC00278	100873962	lincRNA	2870953	2970313	Y	1	chromosome
ENSG00000231540	TCEB1P9		pseudogene	25954968	25955206	Y	-1	chromosome
ENSG00000231716	CDY23P		pseudogene	28140831	28141844	Y	-1	chromosome
ENSG00000231874	TSPY18P		pseudogene	9707273	9708390	Y	1	chromosome
ENSG00000231988	OFD1P3Y		pseudogene	8898635	8908029	Y	1	chromosome
ENSG00000232003	ZNF736P12Y		pseudogene	26646410	26647652	Y	-1	chromosome
ENSG00000232029	TCEB1P15		pseudogene	24214967	24215298	Y	1	chromosome
ENSG00000232064	USP9YP33		pseudogene	27736470	27738492	Y	-1	chromosome
ENSG00000232195	TOMM22P2		pseudogene	2696023	2696259	Y	1	chromosome
ENSG00000232205	CDY18P		pseudogene	26250254	26252165	Y	1	chromosome
ENSG00000232226	ARSFP1		pseudogene	14373025	14378737	Y	-1	chromosome
ENSG00000232235	CDY3P		pseudogene	9003694	9005311	Y	-1	chromosome
ENSG00000232348	LINC00279		lincRNA	8506335	8512883	Y	1	chromosome
ENSG00000232419	TTTY19	252952	lincRNA	8572513	8573324	Y	1	chromosome
ENSG00000232424	USP9YP29		pseudogene	25886405	25892840	Y	-1	chromosome
ENSG00000232475	HSFY5P		pseudogene	24194701	24195494	Y	-1	chromosome
ENSG00000232522	ZNF886P		pseudogene	22163071	22174090	Y	-1	chromosome
ENSG00000232583	GPR143P		pseudogene	6968774	6974543	Y	-1	chromosome
ENSG00000232585	OFD1P12Y		pseudogene	26118927	26141228	Y	1	chromosome
ENSG00000232614	USP9YP9		pseudogene	27876158	27881307	Y	-1	chromosome
ENSG00000232617	AC017019.1		pseudogene	9502838	9506619	Y	1	chromosome
ENSG00000232620	TSPY17P		pseudogene	6388504	6388970	Y	1	chromosome
ENSG00000232634	NEFLP1		pseudogene	23382992	23383975	Y	-1	chromosome
ENSG00000232695	TCEB1P17		pseudogene	28007090	28007415	Y	1	chromosome
ENSG00000232730	FAM8A4P		pseudogene	14442350	14443562	Y	1	chromosome
ENSG00000232744	USP9YP16		pseudogene	20283081	20285685	Y	-1	chromosome
ENSG00000232764	TRIM60P8Y		pseudogene	25171741	25172810	Y	1	chromosome
ENSG00000232808	TTTY20	252951	antisense	9167489	9172441	Y	-1	chromosome
ENSG00000232845	TRAPPC2P9		pseudogene	25908985	25911730	Y	-1	chromosome
ENSG00000232899	CDY9P		pseudogene	20344721	20346300	Y	-1	chromosome
ENSG00000232910	RAB9AP1		pseudogene	25897335	25897907	Y	1	chromosome
ENSG00000232914	TRAPPC2P4		pseudogene	28050665	28053397	Y	1	chromosome
ENSG00000232924	TCEB1P4		pseudogene	9068524	9068856	Y	1	chromosome
ENSG00000232927	USP12PY		pseudogene	3550846	3551909	Y	1	chromosome
ENSG00000232976	TRIM60P10Y		pseudogene	26805484	26806553	Y	1	chromosome
ENSG00000233070	ZFY-AS1		antisense	2834885	2870667	Y	-1	chromosome
ENSG00000233120	USP9YP15		pseudogene	20278413	20279581	Y	1	chromosome
ENSG00000233126	ZNF736P3Y		pseudogene	25195394	25197342	Y	1	chromosome
ENSG00000233156	HSFY8P		pseudogene	28157582	28158384	Y	1	chromosome
ENSG00000233378	USP9YP34		pseudogene	20096229	20105140	Y	1	chromosome
ENSG00000233522	FAM224A		lincRNA	20488139	20515096	Y	1	chromosome
ENSG00000233546	PRYP5		pseudogene	20691244	20691509	Y	1	chromosome
ENSG00000233619	AC006328.9		pseudogene	27633431	27633809	Y	-1	chromosome
ENSG00000233634	GOT2P5		pseudogene	6705748	6706293	Y	1	chromosome
ENSG00000233652	CICP1		pseudogene	27535139	27537958	Y	1	chromosome
ENSG00000233699	TTTY18	252950	lincRNA	8551411	8551919	Y	-1	chromosome
ENSG00000233740	CICP2		pseudogene	26424484	26427287	Y	-1	chromosome
ENSG00000233774	MED14P1		pseudogene	14730915	14746333	Y	-1	chromosome
ENSG00000233803	TSPY4	728395	protein_coding	9175073	9177893	Y	1	chromosome
ENSG00000233843	CYCSP48		pseudogene	28546758	28547377	Y	1	chromosome
ENSG00000233864	TTTY15	64595	lincRNA	14774265	14804162	Y	1	chromosome
ENSG00000233944	LINC00265-3P		pseudogene	27539301	27540203	Y	-1	chromosome
ENSG00000234059	CASKP1		pseudogene	15042075	15060090	Y	-1	chromosome
ENSG00000234081	TCEB1P10		pseudogene	26153058	26153384	Y	-1	chromosome
ENSG00000234110	TSPY25P		pseudogene	9461792	9463961	Y	1	chromosome
ENSG00000234131	TCEB1P8		pseudogene	24663389	24663720	Y	-1	chromosome
ENSG00000234179	MTCYBP1		pseudogene	8232073	8233191	Y	1	chromosome
ENSG00000234385	RCC2P1		pseudogene	13901758	13903233	Y	-1	chromosome
ENSG00000234399	RBMY2XP		pseudogene	26542751	26549673	Y	-1	chromosome
ENSG00000234414	RBMY1A1	5940	protein_coding	23673258	23711212	Y	1	chromosome
ENSG00000234529	GAPDHP19		pseudogene	21489455	21490459	Y	1	chromosome
ENSG00000234583	TSPY19P		pseudogene	6171998	6173115	Y	-1	chromosome
ENSG00000234620	HDHD1P1		pseudogene	17460542	17567954	Y	-1	chromosome
ENSG00000234652	AGPAT5P1		pseudogene	3161849	3162867	Y	1	chromosome
ENSG00000234744	USP9YP26		pseudogene	28148401	28155003	Y	1	chromosome
ENSG00000234795	RFTN1P1		pseudogene	7581026	7677302	Y	-1	chromosome
ENSG00000234803	FAM197Y2	252946;100287826;100289150	antisense	9355208	9364506	Y	-1	chromosome
ENSG00000234830	FAM197Y9		pseudogene	6124308	6131994	Y	-1	chromosome
ENSG00000234850	MTND2P3		pseudogene	8240282	8240751	Y	1	chromosome
ENSG00000234888	OFD1P15Y		pseudogene	28201926	28234640	Y	-1	chromosome
ENSG00000234950	RBMY2OP		pseudogene	9789162	9797032	Y	1	chromosome
