exon_id	exon_seq_start	exon_seq_end
ENSE00001593786	6958130	6958231
ENSE00001370395	6959513	6959724
ENSE00001631277	4868267	4868646
ENSE00001619635	4899947	4900052
ENSE00001755808	4900711	4900769
ENSE00000981568	4924930	4925500
ENSE00001640924	4966256	4968748
ENSE00001602875	4972385	4973485
ENSE00001350198	4924131	4925500
ENSE00001944263	4972385	4972741
ENSE00001803775	5369098	5369296
ENSE00001677522	5449816	5449839
ENSE00001322750	5605313	5610265
ENSE00001436852	4924865	4925500
ENSE00001731866	5483308	5483316
ENSE00001711324	5491131	5491145
ENSE00001779807	5605313	5605983
ENSE00001348274	6742013	6742068
ENSE00001671586	6740596	6740661
ENSE00001645681	6738047	6738094
ENSE00000652250	6736773	6736817
ENSE00001667251	6736078	6736503
ENSE00001494454	6733959	6734119
ENSE00001494452	6740596	6740649
ENSE00001651085	6736909	6736950
ENSE00001727000	6734114	6734119
ENSE00002300179	7142013	7142519
ENSE00003518103	7171978	7172146
ENSE00003489469	7193947	7194210
ENSE00003507474	7209156	7209275
ENSE00003502780	7224176	7224271
ENSE00002194667	7235397	7235474
ENSE00001494358	7239784	7239930
ENSE00001494356	7243753	7249589
ENSE00002183990	7142354	7142519
ENSE00002194098	7239784	7239909
ENSE00001877035	7194108	7194210
ENSE00001918349	7196068	7196444
ENSE00001948825	7201071	7201149
ENSE00001928357	7224176	7224264
ENSE00002210406	7142336	7142519
ENSE00003574133	7171978	7172146
ENSE00003534383	7193947	7194210
ENSE00003600341	7209156	7209275
ENSE00003520510	7224176	7224271
ENSE00001661914	7235397	7235456
ENSE00001020131	14813160	14813984
ENSE00001020125	14820567	14820626
ENSE00003651478	14821321	14821476
ENSE00003476271	14832522	14832670
ENSE00003602419	14834041	14834120
ENSE00003467347	14837046	14837158
ENSE00003693194	14838508	14838726
ENSE00003654508	14847546	14847661
ENSE00003550081	14847932	14848183
ENSE00003624888	14848345	14848483
ENSE00003487242	14850091	14850243
ENSE00003601630	14851459	14851563
ENSE00003666147	14869122	14869328
ENSE00003566318	14870436	14870572
ENSE00003557039	14872414	14872547
ENSE00003515132	14883002	14883089
ENSE00003621719	14885517	14885859
ENSE00003555621	14887405	14887500
ENSE00003655936	14888583	14888794
ENSE00003476364	14889953	14890193
ENSE00003510955	14890540	14890689
ENSE00003621863	14891460	14891580
ENSE00003560948	14898137	14898267
ENSE00003561084	14898455	14898733
ENSE00003508322	14902340	14902465
ENSE00003664000	14903432	14903557
ENSE00003547650	14904965	14905134
ENSE00003694071	14922114	14922222
ENSE00003679141	14922607	14922753
ENSE00003652645	14923570	14923716
ENSE00003564733	14924765	14924987
ENSE00003681535	14928059	14928279
ENSE00003669946	14930355	14930545
ENSE00003585886	14945614	14945787
ENSE00003635310	14949837	14949978
ENSE00003552773	14951790	14952540
ENSE00003548868	14952936	14953059
ENSE00001601104	14954166	14954391
ENSE00003586868	14954989	14955118
ENSE00003686311	14958258	14958443
ENSE00003476240	14958858	14959078
ENSE00003513236	14959164	14959252
ENSE00003654441	14968265	14968421
ENSE00003686907	14968558	14968770
ENSE00003595540	14969491	14969586
ENSE00003502466	14971204	14972764
ENSE00001869747	14813969	14813984
ENSE00003574267	14821321	14821476
ENSE00001853448	14832522	14833136
ENSE00001952418	14821369	14821476
ENSE00003642330	14832522	14832670
ENSE00003608903	14834041	14834120
ENSE00003569874	14837046	14837158
ENSE00003525307	14838508	14838726
ENSE00003468269	14847546	14847661
ENSE00003668411	14847932	14848183
ENSE00003544199	14848345	14848483
ENSE00003543968	14850091	14850243
ENSE00003678761	14851459	14851563
ENSE00003522394	14869122	14869328
ENSE00003556397	14870436	14870572
ENSE00003484639	14872414	14872547
ENSE00003494702	14883002	14883089
ENSE00003664430	14885517	14885859
ENSE00003545466	14887405	14887500
ENSE00003634092	14888583	14888794
ENSE00003562091	14889953	14890193
ENSE00003499612	14890540	14890689
ENSE00003612302	14891460	14891580
ENSE00003510705	14898137	14898267
ENSE00003494757	14898455	14898733
ENSE00003626016	14902340	14902465
ENSE00003624705	14903432	14903557
ENSE00003646476	14904965	14905134
ENSE00003683748	14922114	14922222
ENSE00003522502	14922607	14922753
ENSE00003692063	14923570	14923716
ENSE00003612215	14924765	14924987
ENSE00003491362	14928059	14928279
ENSE00003599293	14930355	14930545
ENSE00003548985	14945614	14945787
ENSE00003477744	14949837	14949978
ENSE00003471770	14951790	14952540
ENSE00003654551	14952936	14953059
ENSE00001841790	14954151	14954391
ENSE00003628831	14954989	14955118
ENSE00003640718	14958258	14958443
ENSE00003536017	14958858	14959078
ENSE00003664007	14959164	14959252
ENSE00003650241	14968265	14968421
ENSE00003632911	14968558	14968770
ENSE00003662966	14969491	14969586
ENSE00003580686	14971204	14972764
ENSE00001595780	14958970	14959078
ENSE00001746916	14971204	14971537
ENSE00001944130	14968738	14969586
ENSE00001756639	6258472	6258716
ENSE00001663636	6262141	6262300
ENSE00001595449	6269164	6269272
ENSE00001634261	6271629	6271766
ENSE00001767444	6279348	6279605
ENSE00002490412	2709527	2709668
ENSE00001709586	2710206	2710283
ENSE00001738202	2712118	2712298
ENSE00001602849	2713687	2713784
ENSE00001601989	2722641	2722812
ENSE00003667463	2733129	2733286
ENSE00003636667	2734834	2735309
ENSE00001732508	2709961	2710014
ENSE00001635459	2734834	2734903
ENSE00001859961	2722137	2722812
ENSE00003469154	2733129	2733286
ENSE00003654930	2734834	2734997
ENSE00002062109	2722771	2722812
ENSE00002034437	2796905	2797026
ENSE00002072199	2799752	2800041
ENSE00001782128	9611654	9611898
ENSE00001664883	9608070	9608229
ENSE00001800396	9601098	9601206
ENSE00001771159	9598604	9598741
ENSE00001609985	9590765	9591022
ENSE00001914170	16168097	16168271
ENSE00001617113	16168464	16168838
ENSE00001940528	16098219	16098393
ENSE00001622417	16097652	16098026
ENSE00002314376	19990147	19992100
ENSE00002282227	19990178	19992098
ENSE00002227312	19989715	19989742
ENSE00002265258	19989290	19989709
ENSE00002810788	21729199	21729368
ENSE00002783311	21749096	21749393
ENSE00002873804	21750256	21750536
ENSE00002825272	21751413	21751498
ENSE00001893165	21751969	21752133
ENSE00001826433	21729236	21729456
ENSE00001875276	21750256	21751498
ENSE00002811240	21751969	21752304
ENSE00002957208	21729268	21729368
ENSE00002829137	21751407	21751498
ENSE00002862473	21751969	21752309
ENSE00002920932	21753666	21753845
ENSE00001657009	21755285	21755479
ENSE00001617655	21757901	21758020
ENSE00001663997	21759477	21759551
ENSE00003585093	21761625	21761717
ENSE00003676904	21764102	21764197
ENSE00001621570	21765683	21766006
ENSE00002224044	21729673	21729837
ENSE00002265061	21731271	21731345
ENSE00002256441	21750256	21751735
ENSE00001793723	21729715	21729837
ENSE00001687078	21749096	21751733
ENSE00002916216	21750429	21750536
ENSE00002875419	21755285	21755603
ENSE00002833019	21750456	21750536
ENSE00002905816	21751969	21752305
ENSE00002863993	21750495	21750536
ENSE00002757214	21753806	21753845
ENSE00002783490	21755285	21755488
ENSE00002932169	21750497	21750536
ENSE00001950956	21752639	21752658
ENSE00001930064	21755285	21755537
ENSE00001279198	21754336	21754700
ENSE00001279210	21755285	21759551
ENSE00001035195	21765683	21768160
ENSE00002958230	21754974	21756047
ENSE00002880368	21759243	21759551
ENSE00002922995	21760438	21760525
ENSE00002745809	21765683	21765937
ENSE00001035136	21729235	21729368
ENSE00000891756	21749096	21749365
ENSE00001281659	21749368	21749393
ENSE00000981692	21751407	21751443
ENSE00001281628	21751446	21751498
ENSE00002836144	21751969	21752308
ENSE00001542537	21758442	21759551
ENSE00003664473	21761625	21761717
ENSE00003581743	21764102	21764197
ENSE00001493485	21765683	21767698
ENSE00001668181	20752266	20752407
ENSE00003505404	20750492	20750592
ENSE00001757235	20750017	20750130
ENSE00003519096	20749298	20749434
ENSE00003627127	20743092	20744234
ENSE00002217996	20750492	20750598
ENSE00003529279	20749298	20749434
ENSE00003568887	20743092	20744234
ENSE00001785382	24587492	24587605
ENSE00003499302	24587136	24587273
ENSE00001693495	24585740	24585978
ENSE00002290871	24587492	24587549
ENSE00003596079	24587136	24587273
ENSE00002214070	24586927	24587025
ENSE00002310424	24585887	24585978
ENSE00001917099	24291113	24291226
ENSE00003687937	24291445	24291582
ENSE00001937237	24292740	24292978
ENSE00002299728	24291169	24291226
ENSE00003671276	24291445	24291582
ENSE00002277139	24291693	24291791
ENSE00002209602	24292740	24292831
ENSE00001799711	6317509	6317545
ENSE00001638328	6318487	6318648
ENSE00001698649	6320956	6321030
ENSE00001648830	6321719	6322195
ENSE00001726416	6324113	6324226
ENSE00001799620	6325702	6325947
ENSE00001594918	6325200	6325455
ENSE00001682908	6321946	6322195
ENSE00001619344	6324014	6324226
ENSE00001729695	9548185	9548434
ENSE00001805126	9546154	9546366
ENSE00001633857	9544433	9544678
ENSE00001692562	9552835	9552871
ENSE00001658267	9551732	9551893
ENSE00001691944	9549350	9549424
ENSE00001628673	9548185	9548661
ENSE00001700737	9546154	9546267
ENSE00001717109	9544925	9545180
ENSE00001016870	15815447	15816315
ENSE00001274354	15817105	15817904
ENSE00001923202	22918050	22918052
ENSE00001677561	22918664	22918741
ENSE00001680575	22921754	22921934
ENSE00001638361	22923170	22923267
ENSE00001725100	22930691	22930862
ENSE00001734476	22941395	22941552
ENSE00001159425	22942817	22942918
ENSE00001867079	16634518	16634821
ENSE00001832496	16733889	16734377
ENSE00001420613	16634632	16634821
ENSE00003548219	16831339	16831398
ENSE00003542397	16834997	16835149
ENSE00003537524	16936068	16936253
ENSE00003686712	16941610	16942399
ENSE00001424034	16952293	16957530
ENSE00001493621	16635626	16635778
ENSE00003620397	16733901	16734471
ENSE00003691073	16834997	16835149
ENSE00003601036	16952293	16955606
ENSE00003554354	16831339	16831398
ENSE00003477208	16860499	16860609
ENSE00003610714	16733901	16734471
ENSE00003537517	16834997	16835149
ENSE00003613876	16860499	16860609
ENSE00001738756	16863561	16863682
ENSE00003625704	16936068	16936253
ENSE00003593743	16941610	16942399
ENSE00003665738	16952293	16955606
ENSE00001955812	16636409	16636588
ENSE00001955997	16733889	16734248
ENSE00001368742	16636454	16636816
ENSE00001390456	16733889	16734471
ENSE00001868567	16952293	16955527
ENSE00001493617	16734061	16734471
ENSE00001612473	16845332	16845429
ENSE00001707785	6114264	6114795
ENSE00003546295	6115397	6115474
ENSE00001623435	6115603	6115714
ENSE00001642228	6115816	6115961
ENSE00003563383	6116068	6116149
ENSE00001830098	6116844	6117054
ENSE00003503096	6114310	6114795
ENSE00001618514	6116057	6116149
ENSE00001687266	6116844	6117053
ENSE00003465137	6114310	6114795
ENSE00003510285	6115397	6115474
ENSE00001885391	6115603	6116149
ENSE00001950610	6116277	6117060
ENSE00001851117	6115664	6115961
ENSE00003591129	6116068	6116149
ENSE00001858368	6116844	6117045
ENSE00001902634	25840606	25840726
ENSE00003696150	25837904	25838019
ENSE00001591394	25827587	25828412
ENSE00003701041	25840606	25840674
ENSE00003695877	25828154	25828412
ENSE00001786049	25840606	25840710
ENSE00003695050	25837904	25838019
ENSE00001644491	25829559	25829589
ENSE00001686003	24636544	24636631
ENSE00001657597	24636733	24636819
ENSE00003636240	24647660	24647780
ENSE00003502664	24650356	24650471
ENSE00003502641	24659959	24660784
ENSE00001876694	24658785	24658899
ENSE00003543250	24659959	24660784
ENSE00001624902	24658785	24658815
ENSE00001703126	24328982	24329095
ENSE00003469687	24327008	24327120
ENSE00003536546	24326438	24326541
ENSE00001739138	24323241	24323418
ENSE00003679115	24321173	24321325
ENSE00003668781	24319048	24319162
ENSE00003531954	24317982	24318092
ENSE00003661928	24317431	24317541
ENSE00003557303	24316886	24316996
ENSE00003568885	24315852	24315962
ENSE00003638296	24315677	24315765
ENSE00003580283	24314689	24315265
ENSE00001816306	24328982	24329104
ENSE00003562722	24327008	24327120
ENSE00003591193	24326438	24326541
ENSE00003636020	24321173	24321325
ENSE00003530779	24319048	24319162
ENSE00003638449	24317982	24318092
ENSE00003576126	24317431	24317541
ENSE00003480178	24316886	24316996
ENSE00003687067	24315852	24315962
ENSE00003468889	24315677	24315765
ENSE00003578044	24314689	24315265
ENSE00001765593	24328982	24329129
ENSE00001625881	24242067	24242154
ENSE00001682815	24241879	24241965
ENSE00003673462	24230918	24231038
ENSE00003492436	24228227	24228342
ENSE00003573636	24217903	24218728
ENSE00001899711	24219791	24219905
ENSE00003488975	24217903	24218728
ENSE00001628640	24219875	24219905
ENSE00003525363	23655405	23655582
ENSE00003550074	23657496	23657648
ENSE00003651701	23659659	23659773
ENSE00003567644	23660729	23660839
ENSE00003490701	23661281	23661391
ENSE00003662908	23661826	23661936
ENSE00001594909	23662370	23662480
ENSE00003642058	23662858	23662968
ENSE00003574473	23663056	23663144
ENSE00003635823	23663556	23663854
ENSE00003480955	23655405	23655582
ENSE00003658768	23657496	23657648
ENSE00003532851	23659659	23659773
ENSE00003665479	23660729	23660839
ENSE00003491376	23661281	23661391
ENSE00003537055	23661826	23661936
ENSE00001657501	23662370	23662391
ENSE00001596885	23661276	23661391
ENSE00003604831	23662858	23662968
ENSE00003477338	23663056	23663144
ENSE00003512248	23663556	23663854
ENSE00001611088	23630044	23630517
ENSE00001715185	23631127	23631204
ENSE00001657254	23631333	23631444
ENSE00001645729	23631544	23631689
ENSE00001802624	23631798	23631879
ENSE00001543685	23632547	23632569
ENSE00003670797	20934992	20935601
ENSE00003588065	20893326	20893753
ENSE00003662804	20934992	20935601
ENSE00003613429	20932069	20932178
ENSE00001899520	20931419	20931505
ENSE00001698194	20930217	20930371
ENSE00001803454	20899531	20899616
ENSE00003604288	20893326	20893753
ENSE00001597600	20934992	20935572
ENSE00003535599	20932069	20932178
ENSE00001493553	20930807	20931505
ENSE00001674814	20934992	20935621
ENSE00001858694	20933700	20934513
ENSE00002036080	20990471	20990548
ENSE00002085962	20981241	20981672
ENSE00002062695	20952456	20952653
ENSE00002046872	20951697	20951805
ENSE00002035366	20934594	20935259
ENSE00001900148	28121696	28121764
ENSE00003701812	28124351	28124466
ENSE00001781602	28133958	28134216
ENSE00001665399	28121660	28121764
ENSE00003700592	28124351	28124466
ENSE00001707150	28132781	28132811
ENSE00001854309	27768309	27770181
ENSE00001666303	27770602	27771049
ENSE00001436475	27768264	27770483
ENSE00001786020	27624416	27624579
ENSE00001735399	27626218	27629777
ENSE00003506820	27629055	27629777
ENSE00003604808	27632781	27632852
ENSE00001668733	27600708	27600827
ENSE00001679890	27601441	27601500
ENSE00001610203	27601687	27601765
ENSE00003589912	27602885	27603234
ENSE00001637486	27603533	27603590
ENSE00001798553	27604621	27604690
ENSE00001752493	27604710	27604870
ENSE00003654675	27604947	27605021
ENSE00003649198	27605442	27605530
ENSE00003496796	27605786	27605974
ENSE00003547203	27606064	27606156
ENSE00001716410	27606239	27606329
ENSE00001635424	27606412	27606567
ENSE00001555256	27606658	27606719
ENSE00002286560	27601458	27601500
ENSE00003553650	27602885	27603234
ENSE00002324147	27603532	27603590
ENSE00003604497	27604947	27605021
ENSE00003480675	27605442	27605530
ENSE00003621244	27605786	27605974
ENSE00003668556	27606064	27606156
ENSE00001795579	27606239	27606322
ENSE00001629437	26361609	26361728
ENSE00001719001	26360936	26360995
ENSE00001728235	26360671	26360751
ENSE00001708482	26359940	26360029
ENSE00001598676	26359202	26359552
ENSE00003608732	26358846	26358903
ENSE00003588397	26357415	26357489
ENSE00003459260	26356906	26356994
ENSE00003477737	26356462	26356650
ENSE00003459192	26356280	26356372
ENSE00001742949	26356102	26356197
ENSE00001800235	26355872	26356018
ENSE00001597641	26355714	26355770
ENSE00003490496	26360936	26360978
ENSE00003609331	26360671	26360749
ENSE00003569147	26359202	26359551
ENSE00002302306	26358846	26358904
ENSE00003652688	26357415	26357489
ENSE00003586010	26356906	26356994
ENSE00003532508	26356462	26356650
ENSE00003491049	26356280	26356372
ENSE00003688093	26356114	26356197
ENSE00001654202	26337854	26338017
ENSE00001648900	26332656	26336215
ENSE00001931820	26192244	26194116
ENSE00001621868	26191376	26191823
ENSE00001491983	26191940	26194166
ENSE00001652231	20708557	20709186
ENSE00001822279	20709665	20710478
ENSE00001838947	20708577	20709186
ENSE00003536585	20750422	20750849
ENSE00001801443	20712000	20712109
ENSE00001739030	20712669	20712755
ENSE00001756006	20713803	20713957
ENSE00001661293	20744559	20744644
ENSE00003593310	20750422	20750849
ENSE00001603573	20708606	20709186
ENSE00001493572	20712669	20713351
ENSE00003551056	8774265	8774373
ENSE00001663043	8775135	8775238
ENSE00003516285	8777924	8778101
ENSE00003527480	8779987	8780139
ENSE00001644937	8782134	8782245
ENSE00001644677	8783125	8783235
ENSE00001705054	8783317	8783405
ENSE00001636903	8783812	8784114
ENSE00002323304	8777989	8778101
ENSE00002263796	8782134	8782196
ENSE00003587796	8774265	8774373
ENSE00002255439	8774933	8774966
ENSE00002234877	8775160	8775238
ENSE00003466737	8777924	8778101
ENSE00003689056	8779987	8780139
ENSE00002236871	8782134	8782184
ENSE00001091887	3447082	3447168
ENSE00001889836	3447265	3448082
ENSE00002559577	3447156	3448082
ENSE00001285919	21038954	21040114
ENSE00001702356	21034387	21034720
ENSE00001684888	21238931	21239004
ENSE00001631223	21038954	21039091
ENSE00001624668	21034389	21034720
ENSE00001747572	21237827	21237882
ENSE00001776523	21230610	21230684
ENSE00001661526	21207128	21207177
ENSE00001792674	21206428	21206581
ENSE00001594458	21094203	21094727
ENSE00001313137	21238931	21239302
ENSE00001556105	21094585	21094727
ENSE00001748128	21238931	21239281
ENSE00001720075	21210659	21210798
ENSE00001800197	21207128	21207174
ENSE00001721855	21206548	21206581
ENSE00001746218	21205049	21205232
ENSE00001626612	21203384	21203472
ENSE00001544018	8685387	8685423
ENSE00001544017	8662902	8662985
ENSE00000900348	8657041	8657343
ENSE00001272668	8651929	8652244
ENSE00001544015	8651351	8651447
ENSE00001708504	20137669	20139589
ENSE00001744590	20140025	20140052
ENSE00001639130	20140058	20140477
ENSE00002310447	20137667	20139626
ENSE00001493287	23548118	23548246
ENSE00001296914	23545799	23545855
ENSE00001325246	23545318	23545682
ENSE00001493285	23544840	23545166
ENSE00001853079	9528709	9528844
ENSE00001693371	9529322	9529526
ENSE00001729545	9531119	9531308
ENSE00001799150	9531390	9531566
ENSE00002265228	13524543	13524717
ENSE00001730908	13506553	13506659
ENSE00001631073	13505561	13505710
ENSE00001704814	13501668	13501776
ENSE00001619518	13500644	13500780
ENSE00002258116	13496241	13496470
ENSE00003436862	25119966	25120121
ENSE00003254543	25130295	25130363
ENSE00001669186	25130716	25130838
ENSE00001626256	25133904	25134040
ENSE00003262349	25138450	25138523
ENSE00001730185	25130410	25130440
ENSE00003542244	25138450	25138568
ENSE00001792376	25140628	25140745
ENSE00003677192	25143599	25143704
ENSE00003473409	25144397	25144521
ENSE00001543555	25151072	25151606
ENSE00003442800	25130434	25130440
ENSE00003516313	25138450	25138568
ENSE00003688894	25143599	25143704
ENSE00003560022	25144397	25144521
ENSE00003360806	25151072	25151553
ENSE00001698397	25151072	25151196
ENSE00001791291	25151291	25151612
ENSE00003302451	26753707	26753862
ENSE00003336765	26764036	26764104
ENSE00001619605	26764457	26764579
ENSE00001689728	26767645	26767781
ENSE00003272237	26772191	26772264
ENSE00001676764	26764151	26764181
ENSE00003549506	26772191	26772309
ENSE00001757255	26774369	26774486
ENSE00003667169	26777341	26777446
ENSE00003463186	26778139	26778263
ENSE00001625788	26784814	26784938
ENSE00001723611	26785033	26785354
ENSE00003454106	26764175	26764181
ENSE00003681954	26772191	26772309
ENSE00003623347	26777341	26777446
ENSE00003640779	26778139	26778263
ENSE00003335658	26784814	26784943
ENSE00003346171	26785033	26785295
ENSE00001864071	15591394	15592553
ENSE00003531058	15591134	15591197
ENSE00003601240	15582001	15582109
ENSE00003660729	15560897	15560946
ENSE00003557845	15526615	15526673
ENSE00003529356	15522873	15522993
ENSE00003648165	15508798	15508852
ENSE00001594460	15505739	15505773
ENSE00003527061	15481136	15481229
ENSE00003473448	15478147	15478273
ENSE00001775185	15472310	15472408
ENSE00001755119	15471647	15471866
ENSE00001291636	15469757	15469849
ENSE00001311020	15467803	15467898
ENSE00001696208	15466883	15467278
ENSE00001305759	15447443	15448215
ENSE00001624388	15438101	15438230
ENSE00001639693	15436481	15436586
ENSE00001651897	15435435	15435640
ENSE00001295816	15418066	15418130
ENSE00001591330	15417918	15417992
ENSE00001751483	15417279	15417427
ENSE00001740894	15414757	15414871
ENSE00001640284	15410837	15411024
ENSE00001785465	15409587	15409728
ENSE00001298131	15372158	15372284
ENSE00001713248	15362897	15363067
ENSE00001875480	15360259	15361762
ENSE00001385925	15591394	15592550
ENSE00001436855	15409321	15409728
ENSE00001640421	15434914	15435248
ENSE00001822678	15591394	15591420
ENSE00003612487	15591134	15591197
ENSE00003529285	15582001	15582109
ENSE00003678156	15560897	15560946
ENSE00003644070	15526615	15526673
ENSE00003505329	15522873	15522993
ENSE00003575738	15508798	15508852
ENSE00003582459	15481136	15481229
ENSE00003591211	15478147	15478273
ENSE00001899507	15472368	15472408
ENSE00001931275	15591134	15591384
ENSE00001818021	15505032	15505773
ENSE00001436854	15591394	15591858
ENSE00001493710	15508182	15508852
ENSE00001942244	15591394	15591803
ENSE00001872513	15590922	15591197
ENSE00002281428	15591394	15591545
ENSE00002277775	15470968	15471102
ENSE00001330353	15361736	15361762
ENSE00002240413	15467255	15467278
ENSE00002284432	15591394	15591551
ENSE00002258300	15434927	15435248
ENSE00002206921	15470344	15470433
ENSE00002312710	15434948	15435270
ENSE00001494622	2654896	2655740
ENSE00002201849	2655075	2655644
ENSE00002323146	2655049	2655069
ENSE00002144027	2655171	2655644
ENSE00002214525	2655145	2655168
ENSE00001543664	23756472	23756552
ENSE00001299738	23751852	23752013
ENSE00001425815	23751158	23751256
ENSE00001543661	23749387	23749548
ENSE00001543658	23746669	23746760
ENSE00001543653	23745486	23745548
ENSE00001493514	21154353	21154595
ENSE00001774474	6341536	6341671
ENSE00001632371	6340854	6341058
ENSE00001757652	6338814	6338990
ENSE00001598872	6339072	6339261
ENSE00001643163	27198221	27198251
ENSE00001775879	27197823	27197945
ENSE00001797093	27194621	27194757
ENSE00003604811	27190093	27190211
ENSE00001711311	27187916	27188033
ENSE00003547967	27184956	27185061
ENSE00003506422	27184139	27184263
ENSE00001764403	27177464	27177588
ENSE00001740581	27177048	27177369
ENSE00003378858	27198221	27198227
ENSE00003663501	27190093	27190211
ENSE00003522688	27184956	27185061
ENSE00003640409	27184139	27184263
ENSE00003450106	27177459	27177588
ENSE00003432143	27177107	27177369
ENSE00003307767	27208540	27208695
ENSE00003370731	27198298	27198366
ENSE00003266869	27190138	27190211
ENSE00001695979	26959330	26959626
ENSE00001803162	26952582	26952728
ENSE00001733013	26952216	26952307
ENSE00001602566	26951604	26951655
ENSE00001709286	26951104	26951167
ENSE00001706721	26950875	26951014
ENSE00001722493	26949403	26949474
ENSE00001757238	26946960	26947031
ENSE00001785551	26944570	26944641
ENSE00001618455	26942174	26942245
ENSE00001728003	26939797	26939868
ENSE00001655608	26937418	26937489
ENSE00001684201	26935041	26935112
ENSE00001594431	26932661	26932732
