tx_id	exon_id	exon_idx
ENST00000541639	ENSE00003484526	24
ENST00000541639	ENSE00003539670	25
ENST00000541639	ENSE00001670444	26
ENST00000541639	ENSE00001594027	27
ENST00000541639	ENSE00002285913	28
ENST00000360160	ENSE00001402535	1
ENST00000360160	ENSE00001403038	2
ENST00000360160	ENSE00003463722	3
ENST00000360160	ENSE00001605860	4
ENST00000360160	ENSE00000862006	5
ENST00000360160	ENSE00000773394	6
ENST00000360160	ENSE00003574309	7
ENST00000360160	ENSE00003652139	8
ENST00000360160	ENSE00003536211	9
ENST00000360160	ENSE00001614446	10
ENST00000360160	ENSE00001746396	11
ENST00000360160	ENSE00000773388	12
ENST00000360160	ENSE00003534942	13
ENST00000360160	ENSE00000773386	14
ENST00000360160	ENSE00001703401	15
ENST00000360160	ENSE00001729063	16
ENST00000360160	ENSE00001722940	17
ENST00000360160	ENSE00001928277	18
ENST00000454054	ENSE00001685858	1
ENST00000454054	ENSE00001350052	2
ENST00000454054	ENSE00003463722	3
ENST00000454054	ENSE00001605860	4
ENST00000454054	ENSE00000862006	5
ENST00000454054	ENSE00000773394	6
ENST00000454054	ENSE00003574309	7
ENST00000454054	ENSE00003656145	8
ENST00000336079	ENSE00001832940	1
ENST00000336079	ENSE00003463722	2
ENST00000336079	ENSE00001605860	3
ENST00000336079	ENSE00000862006	4
ENST00000336079	ENSE00000773394	5
ENST00000336079	ENSE00003574309	6
ENST00000336079	ENSE00003652139	7
ENST00000336079	ENSE00003536211	8
ENST00000336079	ENSE00001614446	9
ENST00000336079	ENSE00001746396	10
ENST00000336079	ENSE00000773388	11
ENST00000336079	ENSE00003534942	12
ENST00000336079	ENSE00000773386	13
ENST00000336079	ENSE00001703401	14
ENST00000336079	ENSE00001729063	15
ENST00000336079	ENSE00001722940	16
ENST00000336079	ENSE00001352037	17
ENST00000493363	ENSE00001826669	1
ENST00000493363	ENSE00003643575	2
ENST00000493363	ENSE00001906809	3
ENST00000440554	ENSE00001797666	1
ENST00000440554	ENSE00003463722	2
ENST00000440554	ENSE00001605860	3
ENST00000440554	ENSE00000862006	4
ENST00000440554	ENSE00000773394	5
ENST00000440554	ENSE00003574309	6
ENST00000440554	ENSE00003652139	7
ENST00000440554	ENSE00003670172	8
ENST00000469101	ENSE00001937992	1
ENST00000469101	ENSE00001848230	2
ENST00000472510	ENSE00003512200	1
ENST00000472510	ENSE00003537802	2
ENST00000472510	ENSE00001948256	3
ENST00000463199	ENSE00001935991	1
ENST00000463199	ENSE00003537802	2
ENST00000463199	ENSE00003534699	3
ENST00000463199	ENSE00001893350	4
ENST00000495478	ENSE00001811040	1
ENST00000495478	ENSE00003693954	2
ENST00000495478	ENSE00001922429	3
ENST00000383052	ENSE00001803243	1
ENST00000383052	ENSE00002223884	2
ENST00000383052	ENSE00003645989	3
ENST00000383052	ENSE00003548678	4
ENST00000383052	ENSE00003611496	5
ENST00000383052	ENSE00001649504	6
ENST00000383052	ENSE00001777381	7
ENST00000383052	ENSE00001494540	8
ENST00000469869	ENSE00001857352	1
ENST00000469869	ENSE00003626126	2
ENST00000469869	ENSE00003631374	3
ENST00000469869	ENSE00001955114	4
ENST00000443793	ENSE00001334555	1
ENST00000443793	ENSE00002223884	2
ENST00000443793	ENSE00001597745	3
ENST00000478783	ENSE00001900413	1
ENST00000478783	ENSE00001880607	2
ENST00000431102	ENSE00001746216	1
ENST00000431102	ENSE00002223884	2
ENST00000431102	ENSE00003548678	3
ENST00000431102	ENSE00003611496	4
ENST00000431102	ENSE00001649504	5
ENST00000431102	ENSE00001777381	6
ENST00000431102	ENSE00001368923	7
ENST00000155093	ENSE00001648585	1
ENST00000155093	ENSE00002223884	2
ENST00000155093	ENSE00003645989	3
ENST00000155093	ENSE00003548678	4
ENST00000155093	ENSE00003611496	5
ENST00000155093	ENSE00001649504	6
ENST00000155093	ENSE00001777381	7
ENST00000155093	ENSE00001368923	8
ENST00000449237	ENSE00001648585	1
ENST00000449237	ENSE00003604519	2
ENST00000449237	ENSE00003548678	3
ENST00000449237	ENSE00003611496	4
ENST00000449237	ENSE00001777381	5
ENST00000449237	ENSE00001368923	6
ENST00000383032	ENSE00001408731	1
ENST00000383032	ENSE00001494437	2
ENST00000383032	ENSE00001494434	3
ENST00000383032	ENSE00001494433	4
ENST00000383032	ENSE00001494431	5
ENST00000383032	ENSE00001793373	6
ENST00000383032	ENSE00003432678	7
ENST00000383032	ENSE00003437631	8
ENST00000383032	ENSE00003379331	9
ENST00000383032	ENSE00001213593	10
ENST00000383032	ENSE00001607530	11
ENST00000383032	ENSE00001716749	12
ENST00000383032	ENSE00001744765	13
ENST00000383032	ENSE00001731081	14
ENST00000383032	ENSE00001654905	15
ENST00000383032	ENSE00001729171	16
ENST00000383032	ENSE00001763966	17
ENST00000383032	ENSE00001593786	18
ENST00000383032	ENSE00001370395	19
ENST00000355162	ENSE00001408731	1
ENST00000355162	ENSE00001494437	2
ENST00000355162	ENSE00001494433	3
ENST00000355162	ENSE00001494431	4
ENST00000355162	ENSE00001793373	5
ENST00000355162	ENSE00003432678	6
ENST00000355162	ENSE00003437631	7
ENST00000355162	ENSE00003379331	8
ENST00000355162	ENSE00001213593	9
ENST00000355162	ENSE00001607530	10
ENST00000355162	ENSE00001716749	11
ENST00000355162	ENSE00001744765	12
ENST00000355162	ENSE00001731081	13
ENST00000355162	ENSE00001654905	14
ENST00000355162	ENSE00001729171	15
ENST00000355162	ENSE00001763966	16
ENST00000355162	ENSE00001593786	17
ENST00000355162	ENSE00001370395	18
ENST00000346432	ENSE00001408731	1
ENST00000346432	ENSE00001494437	2
ENST00000346432	ENSE00001494434	3
ENST00000346432	ENSE00001494431	4
ENST00000346432	ENSE00001793373	5
ENST00000346432	ENSE00003432678	6
ENST00000346432	ENSE00003437631	7
ENST00000346432	ENSE00003379331	8
ENST00000346432	ENSE00001213593	9
ENST00000346432	ENSE00001607530	10
ENST00000346432	ENSE00001716749	11
ENST00000346432	ENSE00001744765	12
ENST00000346432	ENSE00001731081	13
ENST00000346432	ENSE00001654905	14
ENST00000346432	ENSE00001729171	15
ENST00000346432	ENSE00001763966	16
ENST00000346432	ENSE00001593786	17
ENST00000346432	ENSE00001370395	18
ENST00000333703	ENSE00001631277	1
ENST00000333703	ENSE00001619635	2
ENST00000333703	ENSE00001755808	3
ENST00000333703	ENSE00000981568	4
ENST00000333703	ENSE00001640924	5
ENST00000333703	ENSE00001602875	6
ENST00000362095	ENSE00001350198	1
ENST00000362095	ENSE00001640924	2
ENST00000362095	ENSE00001944263	3
ENST00000400457	ENSE00000981568	1
ENST00000400457	ENSE00001640924	2
ENST00000400457	ENSE00001803775	3
ENST00000400457	ENSE00001677522	4
ENST00000400457	ENSE00001322750	5
ENST00000215473	ENSE00001436852	1
ENST00000215473	ENSE00001640924	2
ENST00000215473	ENSE00001803775	3
ENST00000215473	ENSE00001731866	4
ENST00000215473	ENSE00001711324	5
ENST00000215473	ENSE00001779807	6
ENST00000215479	ENSE00001348274	1
ENST00000215479	ENSE00001671586	2
ENST00000215479	ENSE00001645681	3
ENST00000215479	ENSE00000652250	4
ENST00000215479	ENSE00001667251	5
ENST00000215479	ENSE00001494454	6
ENST00000383036	ENSE00001494452	1
ENST00000383036	ENSE00001645681	2
ENST00000383036	ENSE00001651085	3
ENST00000383036	ENSE00000652250	4
ENST00000383036	ENSE00001667251	5
ENST00000383036	ENSE00001727000	6
ENST00000383037	ENSE00001494452	1
ENST00000383037	ENSE00001645681	2
ENST00000383037	ENSE00001651085	3
ENST00000383037	ENSE00000652250	4
ENST00000383037	ENSE00001667251	5
ENST00000528056	ENSE00002300179	1
ENST00000528056	ENSE00003518103	2
ENST00000528056	ENSE00003489469	3
ENST00000528056	ENSE00003507474	4
ENST00000528056	ENSE00003502780	5
ENST00000528056	ENSE00002194667	6
ENST00000528056	ENSE00001494358	7
ENST00000528056	ENSE00001494356	8
ENST00000533551	ENSE00002183990	1
ENST00000533551	ENSE00003518103	2
ENST00000533551	ENSE00003489469	3
ENST00000533551	ENSE00003507474	4
ENST00000533551	ENSE00003502780	5
ENST00000533551	ENSE00002194667	6
ENST00000533551	ENSE00002194098	7
ENST00000495163	ENSE00001877035	1
ENST00000495163	ENSE00001918349	2
ENST00000472666	ENSE00001948825	1
ENST00000472666	ENSE00003507474	2
ENST00000472666	ENSE00001928357	3
ENST00000362758	ENSE00002210406	1
ENST00000362758	ENSE00003574133	2
ENST00000362758	ENSE00003534383	3
ENST00000362758	ENSE00003600341	4
ENST00000362758	ENSE00003520510	5
ENST00000362758	ENSE00001661914	6
ENST00000338981	ENSE00001020131	1
ENST00000338981	ENSE00001020125	2
ENST00000338981	ENSE00003651478	3
ENST00000338981	ENSE00003476271	4
ENST00000338981	ENSE00003602419	5
ENST00000338981	ENSE00003467347	6
ENST00000338981	ENSE00003693194	7
ENST00000338981	ENSE00003654508	8
ENST00000338981	ENSE00003550081	9
ENST00000338981	ENSE00003624888	10
ENST00000338981	ENSE00003487242	11
ENST00000338981	ENSE00003601630	12
ENST00000338981	ENSE00003666147	13
ENST00000338981	ENSE00003566318	14
ENST00000338981	ENSE00003557039	15
ENST00000338981	ENSE00003515132	16
ENST00000338981	ENSE00003621719	17
ENST00000338981	ENSE00003555621	18
ENST00000338981	ENSE00003655936	19
ENST00000338981	ENSE00003476364	20
ENST00000338981	ENSE00003510955	21
ENST00000338981	ENSE00003621863	22
ENST00000338981	ENSE00003560948	23
ENST00000338981	ENSE00003561084	24
ENST00000338981	ENSE00003508322	25
ENST00000338981	ENSE00003664000	26
ENST00000338981	ENSE00003547650	27
ENST00000338981	ENSE00003694071	28
ENST00000338981	ENSE00003679141	29
ENST00000338981	ENSE00003652645	30
ENST00000338981	ENSE00003564733	31
ENST00000338981	ENSE00003681535	32
ENST00000338981	ENSE00003669946	33
ENST00000338981	ENSE00003585886	34
ENST00000338981	ENSE00003635310	35
ENST00000338981	ENSE00003552773	36
ENST00000338981	ENSE00003548868	37
ENST00000338981	ENSE00001601104	38
ENST00000338981	ENSE00003586868	39
ENST00000338981	ENSE00003686311	40
ENST00000338981	ENSE00003476240	41
ENST00000338981	ENSE00003513236	42
ENST00000338981	ENSE00003654441	43
ENST00000338981	ENSE00003686907	44
ENST00000338981	ENSE00003595540	45
ENST00000338981	ENSE00003502466	46
ENST00000493168	ENSE00001869747	1
ENST00000493168	ENSE00003574267	2
ENST00000493168	ENSE00001853448	3
ENST00000426564	ENSE00001952418	1
ENST00000426564	ENSE00003642330	2
ENST00000426564	ENSE00003608903	3
ENST00000426564	ENSE00003569874	4
ENST00000426564	ENSE00003525307	5
ENST00000426564	ENSE00003468269	6
ENST00000426564	ENSE00003668411	7
ENST00000426564	ENSE00003544199	8
ENST00000426564	ENSE00003543968	9
ENST00000426564	ENSE00003678761	10
ENST00000426564	ENSE00003522394	11
ENST00000426564	ENSE00003556397	12
ENST00000426564	ENSE00003484639	13
ENST00000426564	ENSE00003494702	14
ENST00000426564	ENSE00003664430	15
ENST00000426564	ENSE00003545466	16
ENST00000426564	ENSE00003634092	17
ENST00000426564	ENSE00003562091	18
ENST00000426564	ENSE00003499612	19
ENST00000426564	ENSE00003612302	20
ENST00000426564	ENSE00003510705	21
ENST00000426564	ENSE00003494757	22
ENST00000426564	ENSE00003626016	23
ENST00000426564	ENSE00003624705	24
ENST00000426564	ENSE00003646476	25
ENST00000426564	ENSE00003683748	26
ENST00000426564	ENSE00003522502	27
ENST00000426564	ENSE00003692063	28
ENST00000426564	ENSE00003612215	29
ENST00000426564	ENSE00003491362	30
ENST00000426564	ENSE00003599293	31
ENST00000426564	ENSE00003548985	32
ENST00000426564	ENSE00003477744	33
ENST00000426564	ENSE00003471770	34
ENST00000426564	ENSE00003654551	35
ENST00000426564	ENSE00001841790	36
ENST00000426564	ENSE00003628831	37
ENST00000426564	ENSE00003640718	38
ENST00000426564	ENSE00003536017	39
ENST00000426564	ENSE00003664007	40
ENST00000426564	ENSE00003650241	41
ENST00000426564	ENSE00003632911	42
ENST00000426564	ENSE00003662966	43
ENST00000426564	ENSE00003580686	44
ENST00000453031	ENSE00001595780	1
ENST00000453031	ENSE00003654441	2
ENST00000453031	ENSE00003686907	3
ENST00000453031	ENSE00003595540	4
ENST00000453031	ENSE00001746916	5
ENST00000471409	ENSE00001944130	1
ENST00000471409	ENSE00003580686	2
ENST00000250776	ENSE00001756639	1
ENST00000250776	ENSE00001663636	2
ENST00000250776	ENSE00001595449	3
ENST00000250776	ENSE00001634261	4
ENST00000250776	ENSE00001767444	5
ENST00000250784	ENSE00002490412	1
ENST00000250784	ENSE00001709586	2
ENST00000250784	ENSE00001738202	3
ENST00000250784	ENSE00001602849	4
ENST00000250784	ENSE00001601989	5
ENST00000250784	ENSE00003667463	6
ENST00000250784	ENSE00003636667	7
ENST00000430575	ENSE00001732508	1
ENST00000430575	ENSE00001709586	2
ENST00000430575	ENSE00001738202	3
ENST00000430575	ENSE00001602849	4
ENST00000430575	ENSE00001601989	5
ENST00000430575	ENSE00003667463	6
ENST00000430575	ENSE00001635459	7
ENST00000477725	ENSE00001859961	1
ENST00000477725	ENSE00003469154	2
ENST00000477725	ENSE00003654930	3
ENST00000515575	ENSE00002062109	1
ENST00000515575	ENSE00002034437	2
ENST00000515575	ENSE00002072199	3
ENST00000250805	ENSE00001782128	1
ENST00000250805	ENSE00001664883	2
ENST00000250805	ENSE00001800396	3
ENST00000250805	ENSE00001771159	4
ENST00000250805	ENSE00001609985	5
ENST00000250823	ENSE00001914170	1
ENST00000250823	ENSE00001617113	2
ENST00000250825	ENSE00001940528	1
ENST00000250825	ENSE00001622417	2
ENST00000382867	ENSE00002314376	1
ENST00000544303	ENSE00002282227	1
ENST00000544303	ENSE00002227312	2
ENST00000544303	ENSE00002265258	3
ENST00000407724	ENSE00002810788	1
ENST00000407724	ENSE00002783311	2
ENST00000407724	ENSE00002873804	3
ENST00000407724	ENSE00002825272	4
ENST00000407724	ENSE00001893165	5
ENST00000459719	ENSE00001826433	1
ENST00000459719	ENSE00002783311	2
ENST00000459719	ENSE00001875276	3
ENST00000459719	ENSE00002811240	4
ENST00000447520	ENSE00002957208	1
ENST00000447520	ENSE00002783311	2
ENST00000447520	ENSE00002829137	3
ENST00000447520	ENSE00002862473	4
ENST00000445715	ENSE00002957208	1
ENST00000445715	ENSE00002783311	2
ENST00000445715	ENSE00002829137	3
ENST00000445715	ENSE00002862473	4
ENST00000445715	ENSE00002920932	5
ENST00000445715	ENSE00001657009	6
ENST00000445715	ENSE00001617655	7
ENST00000445715	ENSE00001663997	8
ENST00000445715	ENSE00003585093	9
ENST00000445715	ENSE00003676904	10
ENST00000445715	ENSE00001621570	11
ENST00000538014	ENSE00002224044	1
ENST00000538014	ENSE00002265061	2
ENST00000538014	ENSE00002783311	3
ENST00000538014	ENSE00002256441	4
ENST00000447202	ENSE00001793723	1
ENST00000447202	ENSE00001687078	2
ENST00000588613	ENSE00002916216	1
ENST00000588613	ENSE00002829137	2
ENST00000588613	ENSE00002920932	3
ENST00000588613	ENSE00002875419	4
ENST00000589075	ENSE00002833019	1
ENST00000589075	ENSE00002829137	2
ENST00000589075	ENSE00002905816	3
ENST00000585549	ENSE00002863993	1
ENST00000585549	ENSE00002829137	2
ENST00000585549	ENSE00002757214	3
ENST00000585549	ENSE00002783490	4
ENST00000587095	ENSE00002932169	1
ENST00000587095	ENSE00002829137	2
ENST00000587095	ENSE00002783490	3
ENST00000488280	ENSE00001950956	1
ENST00000488280	ENSE00002920932	2
ENST00000488280	ENSE00001930064	3
ENST00000253320	ENSE00001279198	1
ENST00000253320	ENSE00001279210	2
ENST00000253320	ENSE00003585093	3
ENST00000253320	ENSE00003676904	4
ENST00000253320	ENSE00001035195	5
ENST00000593000	ENSE00002958230	1
ENST00000592697	ENSE00002880368	1
ENST00000592697	ENSE00002922995	2
ENST00000592697	ENSE00003585093	3
ENST00000592697	ENSE00003676904	4
ENST00000592697	ENSE00002745809	5
ENST00000251749	ENSE00001035136	1
ENST00000251749	ENSE00000891756	2
ENST00000251749	ENSE00001281659	3
ENST00000251749	ENSE00000981692	4
ENST00000251749	ENSE00001281628	5
ENST00000251749	ENSE00002836144	6
ENST00000382832	ENSE00001542537	1
ENST00000382832	ENSE00003664473	2
ENST00000382832	ENSE00003581743	3
ENST00000382832	ENSE00001493485	4
ENST00000433794	ENSE00001668181	1
ENST00000433794	ENSE00003505404	2
ENST00000433794	ENSE00001757235	3
ENST00000433794	ENSE00003519096	4
ENST00000433794	ENSE00003627127	5
ENST00000545582	ENSE00002217996	1
ENST00000545582	ENSE00001757235	2
ENST00000545582	ENSE00003529279	3
ENST00000545582	ENSE00003568887	4
ENST00000253838	ENSE00001785382	1
ENST00000253838	ENSE00003499302	2
ENST00000253838	ENSE00001693495	3
ENST00000538537	ENSE00002290871	1
ENST00000538537	ENSE00003596079	2
ENST00000538537	ENSE00002214070	3
ENST00000538537	ENSE00002310424	4
ENST00000253848	ENSE00001917099	1
ENST00000253848	ENSE00003687937	2
ENST00000253848	ENSE00001937237	3
ENST00000545808	ENSE00002299728	1
ENST00000545808	ENSE00003671276	2
ENST00000545808	ENSE00002277139	3
ENST00000545808	ENSE00002209602	4
ENST00000457100	ENSE00001799711	1
ENST00000457100	ENSE00001638328	2
ENST00000457100	ENSE00001698649	3
ENST00000457100	ENSE00001648830	4
ENST00000457100	ENSE00001726416	5
ENST00000457100	ENSE00001799620	6
ENST00000276770	ENSE00001799711	1
ENST00000276770	ENSE00001638328	2
ENST00000276770	ENSE00001698649	3
ENST00000276770	ENSE00001648830	4
ENST00000276770	ENSE00001726416	5
ENST00000276770	ENSE00001594918	6
ENST00000276770	ENSE00001799620	7
ENST00000449828	ENSE00001682908	1
ENST00000449828	ENSE00001619344	2
ENST00000449828	ENSE00001799620	3
ENST00000447655	ENSE00001729695	1
ENST00000447655	ENSE00001805126	2
ENST00000447655	ENSE00001633857	3
ENST00000276779	ENSE00001692562	1
ENST00000276779	ENSE00001658267	2
ENST00000276779	ENSE00001691944	3
ENST00000276779	ENSE00001628673	4
ENST00000276779	ENSE00001700737	5
ENST00000276779	ENSE00001717109	6
ENST00000276779	ENSE00001633857	7
ENST00000415405	ENSE00001692562	1
ENST00000415405	ENSE00001658267	2
ENST00000415405	ENSE00001691944	3
ENST00000415405	ENSE00001628673	4
ENST00000415405	ENSE00001700737	5
ENST00000415405	ENSE00001633857	6
ENST00000284856	ENSE00001016870	1
ENST00000284856	ENSE00001274354	2
ENST00000288666	ENSE00001923202	1
ENST00000288666	ENSE00001677561	2
ENST00000288666	ENSE00001680575	3
ENST00000288666	ENSE00001638361	4
ENST00000288666	ENSE00001725100	5
ENST00000288666	ENSE00001734476	6
ENST00000288666	ENSE00001159425	7
ENST00000471252	ENSE00001867079	1
ENST00000471252	ENSE00001832496	2
ENST00000382872	ENSE00001420613	1
ENST00000382872	ENSE00003548219	2
ENST00000382872	ENSE00003542397	3
ENST00000382872	ENSE00003537524	4
ENST00000382872	ENSE00003686712	5
ENST00000382872	ENSE00001424034	6
ENST00000355905	ENSE00001493621	1
ENST00000355905	ENSE00003620397	2
ENST00000355905	ENSE00003691073	3
ENST00000355905	ENSE00003537524	4
ENST00000355905	ENSE00003686712	5
ENST00000355905	ENSE00003601036	6
ENST00000382868	ENSE00001493621	1
ENST00000382868	ENSE00003620397	2
ENST00000382868	ENSE00003554354	3
ENST00000382868	ENSE00003691073	4
ENST00000382868	ENSE00003477208	5
ENST00000382868	ENSE00003537524	6
ENST00000382868	ENSE00003686712	7
ENST00000382868	ENSE00003601036	8
ENST00000476359	ENSE00001493621	1
ENST00000476359	ENSE00003610714	2
ENST00000476359	ENSE00003548219	3
ENST00000476359	ENSE00003537517	4
ENST00000476359	ENSE00003613876	5
ENST00000476359	ENSE00001738756	6
ENST00000476359	ENSE00003625704	7
ENST00000476359	ENSE00003593743	8
ENST00000476359	ENSE00003665738	9
ENST00000481089	ENSE00001955812	1
ENST00000481089	ENSE00001955997	2
ENST00000339174	ENSE00001368742	1
ENST00000339174	ENSE00001390456	2
ENST00000339174	ENSE00003691073	3
ENST00000339174	ENSE00003537524	4
ENST00000339174	ENSE00003686712	5
ENST00000339174	ENSE00001868567	6
ENST00000413217	ENSE00001493617	1
ENST00000413217	ENSE00003554354	2
ENST00000413217	ENSE00003691073	3
ENST00000413217	ENSE00001612473	4
ENST00000297967	ENSE00003620397	1
ENST00000297967	ENSE00003554354	2
ENST00000297967	ENSE00003691073	3
ENST00000297967	ENSE00001612473	4
ENST00000320701	ENSE00001707785	1
ENST00000320701	ENSE00003546295	2
ENST00000320701	ENSE00001623435	3
ENST00000320701	ENSE00001642228	4
ENST00000320701	ENSE00003563383	5
ENST00000320701	ENSE00001830098	6
ENST00000383042	ENSE00003503096	1
ENST00000383042	ENSE00003546295	2
ENST00000383042	ENSE00001623435	3
ENST00000383042	ENSE00001642228	4
ENST00000383042	ENSE00001618514	5
ENST00000383042	ENSE00001687266	6
ENST00000470569	ENSE00003465137	1
ENST00000470569	ENSE00003510285	2
ENST00000470569	ENSE00001885391	3
ENST00000470569	ENSE00001950610	4
ENST00000464674	ENSE00001851117	1
ENST00000464674	ENSE00003591129	2
ENST00000464674	ENSE00001858368	3
ENST00000343584	ENSE00001902634	1
ENST00000343584	ENSE00003696150	2
ENST00000343584	ENSE00001591394	3
ENST00000607210	ENSE00003701041	1
ENST00000607210	ENSE00003696150	2
ENST00000607210	ENSE00003695877	3
ENST00000303593	ENSE00001786049	1
ENST00000303593	ENSE00003695050	2
ENST00000303593	ENSE00001644491	3
ENST00000303728	ENSE00001686003	1
ENST00000303728	ENSE00001657597	2
ENST00000303728	ENSE00003636240	3
ENST00000303728	ENSE00003502664	4
ENST00000303728	ENSE00003502641	5
ENST00000477123	ENSE00001686003	1
ENST00000477123	ENSE00001657597	2
ENST00000477123	ENSE00003636240	3
ENST00000477123	ENSE00003502664	4
ENST00000477123	ENSE00001876694	5
ENST00000477123	ENSE00003543250	6
ENST00000338793	ENSE00001686003	1
ENST00000338793	ENSE00001657597	2
ENST00000338793	ENSE00003636240	3
