tx_id	tx_biotype	tx_seq_start	tx_seq_end	tx_cds_seq_start	tx_cds_seq_end	gene_id
ENST00000382433	protein_coding	25365695	25436146	25365888	25431648	ENSG00000205944
ENST00000382306	protein_coding	25365622	25437496	25365888	25431648	ENSG00000205944
ENST00000449947	protein_coding	25365678	25437499	25365888	25431648	ENSG00000205944
ENST00000382294	protein_coding	25365680	25437497	25365888	25431648	ENSG00000205944
ENST00000382424	protein_coding	25365695	25437497	25365888	25431648	ENSG00000205944
ENST00000400493	protein_coding	25365701	25437497	25365888	25431648	ENSG00000205944
ENST00000382431	protein_coding	25365701	25435854	25365888	25431648	ENSG00000205944
ENST00000382434	protein_coding	25365622	25395738	25365888	25395738	ENSG00000205944
ENST00000382966	processed_transcript	14475147	14532255	NULL	NULL	ENSG00000206159
ENST00000493160	processed_transcript	14494992	14530093	NULL	NULL	ENSG00000206159
ENST00000357871	processed_transcript	14514046	14532255	NULL	NULL	ENSG00000206159
ENST00000382963	processed_transcript	14517922	14532171	NULL	NULL	ENSG00000206159
ENST00000382965	transcribed_unprocessed_pseudogene	14518595	14532121	NULL	NULL	ENSG00000206159
ENST00000417072	lincRNA	9578193	9596085	NULL	NULL	ENSG00000212855
ENST00000450591	lincRNA	6274285	6292186	NULL	NULL	ENSG00000212856
ENST00000388836	processed_pseudogene	5441186	5442472	NULL	NULL	ENSG00000214207
ENST00000400275	processed_pseudogene	15398518	15399258	NULL	NULL	ENSG00000215414
ENST00000536206	processed_pseudogene	15398518	15399258	NULL	NULL	ENSG00000215414
ENST00000258589	unprocessed_pseudogene	28654360	28725837	NULL	NULL	ENSG00000215506
ENST00000448881	transcribed_processed_pseudogene	28269821	28279455	NULL	NULL	ENSG00000215507
ENST00000400476	processed_transcript	28269867	28275354	NULL	NULL	ENSG00000215507
ENST00000442535	processed_pseudogene	25012691	25013903	NULL	NULL	ENSG00000215537
ENST00000448575	transcribed_processed_pseudogene	25683455	25693089	NULL	NULL	ENSG00000215540
ENST00000458444	processed_transcript	25687556	25693043	NULL	NULL	ENSG00000215540
ENST00000400581	lincRNA	24442945	24445023	NULL	NULL	ENSG00000215560
ENST00000441139	processed_transcript	21617317	21665039	NULL	NULL	ENSG00000215580
ENST00000400605	processed_transcript	21618198	21665022	NULL	NULL	ENSG00000215580
ENST00000513194	transcribed_unprocessed_pseudogene	21618471	21646770	NULL	NULL	ENSG00000215580
ENST00000421118	processed_pseudogene	14043242	14044475	NULL	NULL	ENSG00000215583
ENST00000431340	unprocessed_pseudogene	8148239	8150250	NULL	NULL	ENSG00000215601
ENST00000415010	processed_pseudogene	7721727	7722917	NULL	NULL	ENSG00000215603
ENST00000404428	processed_pseudogene	3417693	3417851	NULL	NULL	ENSG00000216777
ENST00000403990	processed_pseudogene	8286832	8287941	NULL	NULL	ENSG00000216824
ENST00000406090	processed_pseudogene	23005142	23005596	NULL	NULL	ENSG00000216844
ENST00000407745	processed_pseudogene	21033988	21034158	NULL	NULL	ENSG00000217179
ENST00000403487	processed_pseudogene	21147061	21148284	NULL	NULL	ENSG00000217896
ENST00000405035	processed_pseudogene	3719265	3720910	NULL	NULL	ENSG00000218410
ENST00000421995	unprocessed_pseudogene	26001669	26003238	NULL	NULL	ENSG00000223362
ENST00000449659	unprocessed_pseudogene	27898535	27899017	NULL	NULL	ENSG00000223406
ENST00000425912	unprocessed_pseudogene	25805613	25813969	NULL	NULL	ENSG00000223407
ENST00000439805	unprocessed_pseudogene	7546940	7549069	NULL	NULL	ENSG00000223422
ENST00000435111	lincRNA	16388092	16389369	NULL	NULL	ENSG00000223517
ENST00000455085	unprocessed_pseudogene	19894090	19896695	NULL	NULL	ENSG00000223555
ENST00000414667	processed_pseudogene	2863108	2863314	NULL	NULL	ENSG00000223600
ENST00000413867	unprocessed_pseudogene	27577303	27583462	NULL	NULL	ENSG00000223636
ENST00000456360	transcribed_unprocessed_pseudogene	23556877	23563471	NULL	NULL	ENSG00000223637
ENST00000444169	processed_transcript	23557034	23563448	NULL	NULL	ENSG00000223637
ENST00000421387	lincRNA	27329790	27330920	NULL	NULL	ENSG00000223641
ENST00000412737	processed_pseudogene	28064470	28065042	NULL	NULL	ENSG00000223655
ENST00000417252	unprocessed_pseudogene	26314334	26320641	NULL	NULL	ENSG00000223698
ENST00000418671	unprocessed_pseudogene	6196093	6211364	NULL	NULL	ENSG00000223744
ENST00000443911	unprocessed_pseudogene	27856055	27859704	NULL	NULL	ENSG00000223856
ENST00000428060	processed_pseudogene	15342765	15343320	NULL	NULL	ENSG00000223915
ENST00000417434	processed_pseudogene	8231577	8232000	NULL	NULL	ENSG00000223955
ENST00000440402	processed_pseudogene	27131348	27132623	NULL	NULL	ENSG00000223978
ENST00000428380	unprocessed_pseudogene	20134179	20135788	NULL	NULL	ENSG00000224033
ENST00000446621	processed_pseudogene	15195704	15207719	NULL	NULL	ENSG00000224035
ENST00000420443	transcribed_unprocessed_pseudogene	14460540	14468218	NULL	NULL	ENSG00000224060
ENST00000430152	processed_transcript	14465804	14468226	NULL	NULL	ENSG00000224060
ENST00000445253	lincRNA	9638762	9650854	NULL	NULL	ENSG00000224075
ENST00000435142	unprocessed_pseudogene	20994888	21001199	NULL	NULL	ENSG00000224151
ENST00000412474	unprocessed_pseudogene	19841408	19856476	NULL	NULL	ENSG00000224166
ENST00000445573	unprocessed_pseudogene	25803986	25805205	NULL	NULL	ENSG00000224169
ENST00000413946	processed_pseudogene	26640856	26641730	NULL	NULL	ENSG00000224210
ENST00000420810	processed_pseudogene	28695572	28695890	NULL	NULL	ENSG00000224240
ENST00000421178	protein_coding	9374241	9384693	9374241	9384693	ENSG00000224336
ENST00000438971	unprocessed_pseudogene	9021303	9023412	NULL	NULL	ENSG00000224408
ENST00000415994	unprocessed_pseudogene	22970662	22973695	NULL	NULL	ENSG00000224482
ENST00000436723	unprocessed_pseudogene	20020635	20022686	NULL	NULL	ENSG00000224485
ENST00000427212	processed_pseudogene	17053626	17054595	NULL	NULL	ENSG00000224518
ENST00000417797	unprocessed_pseudogene	26066052	26067657	NULL	NULL	ENSG00000224571
ENST00000447526	processed_pseudogene	8218972	8220184	NULL	NULL	ENSG00000224634
ENST00000451071	transcribed_unprocessed_pseudogene	24795392	24805025	NULL	NULL	ENSG00000224657
ENST00000400578	processed_transcript	24795438	24800925	NULL	NULL	ENSG00000224657
ENST00000413372	processed_pseudogene	26422392	26423173	NULL	NULL	ENSG00000224827
ENST00000457708	unprocessed_pseudogene	25880340	25882396	NULL	NULL	ENSG00000224866
ENST00000445813	unprocessed_pseudogene	24666828	24667842	NULL	NULL	ENSG00000224873
ENST00000434179	unprocessed_pseudogene	24816763	24819006	NULL	NULL	ENSG00000224917
ENST00000413200	processed_pseudogene	6587003	6587221	NULL	NULL	ENSG00000224953
ENST00000443200	unprocessed_pseudogene	19909863	19912576	NULL	NULL	ENSG00000224964
ENST00000421205	lincRNA	19612838	19626898	NULL	NULL	ENSG00000224989
ENST00000443820	unprocessed_pseudogene	14474827	14499123	NULL	NULL	ENSG00000225117
ENST00000422655	unprocessed_pseudogene	25608612	25618427	NULL	NULL	ENSG00000225189
ENST00000426293	unprocessed_pseudogene	27845598	27848709	NULL	NULL	ENSG00000225256
ENST00000431179	unprocessed_pseudogene	27821207	27843493	NULL	NULL	ENSG00000225287
ENST00000412165	unprocessed_pseudogene	27894743	27896353	NULL	NULL	ENSG00000225326
ENST00000434110	unprocessed_pseudogene	25727742	25760787	NULL	NULL	ENSG00000225466
ENST00000433767	unprocessed_pseudogene	26378973	26385131	NULL	NULL	ENSG00000225491
ENST00000450145	protein_coding	9293012	9323893	9293012	9323893	ENSG00000225516
ENST00000423213	protein_coding	9301461	9323893	9301461	9323893	ENSG00000225516
ENST00000430032	protein_coding	9323618	9344176	9323618	9344176	ENSG00000225516
ENST00000437686	lincRNA	7567398	7569288	NULL	NULL	ENSG00000225520
ENST00000426661	antisense	9185120	9193010	NULL	NULL	ENSG00000225560
ENST00000432394	antisense	9187188	9192791	NULL	NULL	ENSG00000225560
ENST00000447528	unprocessed_pseudogene	27764791	27766400	NULL	NULL	ENSG00000225609
ENST00000453474	unprocessed_pseudogene	24344576	24349859	NULL	NULL	ENSG00000225615
ENST00000440297	unprocessed_pseudogene	22889140	22904786	NULL	NULL	ENSG00000225624
ENST00000458209	processed_pseudogene	3646038	3647587	NULL	NULL	ENSG00000225653
ENST00000456541	processed_transcript	9904163	9904995	NULL	NULL	ENSG00000225685
ENST00000426936	transcribed_unprocessed_pseudogene	9904196	9906760	NULL	NULL	ENSG00000225685
ENST00000443934	processed_pseudogene	20602683	20603011	NULL	NULL	ENSG00000225716
ENST00000429066	processed_pseudogene	19949081	19949408	NULL	NULL	ENSG00000225740
ENST00000418221	unprocessed_pseudogene	8132490	8145229	NULL	NULL	ENSG00000225809
ENST00000445125	processed_pseudogene	10036113	10036711	NULL	NULL	ENSG00000225840
ENST00000426199	unprocessed_pseudogene	28390498	28390720	NULL	NULL	ENSG00000225876
ENST00000436888	processed_pseudogene	4669726	4670889	NULL	NULL	ENSG00000225878
ENST00000440676	unprocessed_pseudogene	20267200	20269988	NULL	NULL	ENSG00000225895
ENST00000425789	processed_pseudogene	19838632	19838960	NULL	NULL	ENSG00000225896
ENST00000411756	unprocessed_pseudogene	19921687	19937209	NULL	NULL	ENSG00000226011
ENST00000452415	unprocessed_pseudogene	23799361	23800927	NULL	NULL	ENSG00000226042
ENST00000455560	unprocessed_pseudogene	10011462	10011816	NULL	NULL	ENSG00000226061
ENST00000445405	unprocessed_pseudogene	24073668	24083297	NULL	NULL	ENSG00000226092
ENST00000413550	unprocessed_pseudogene	20024579	20033510	NULL	NULL	ENSG00000226116
ENST00000449843	unprocessed_pseudogene	9477858	9478325	NULL	NULL	ENSG00000226223
ENST00000416040	processed_pseudogene	26829804	26831082	NULL	NULL	ENSG00000226270
ENST00000445421	processed_pseudogene	19740393	19741282	NULL	NULL	ENSG00000226353
ENST00000458627	lincRNA	20552880	20566932	NULL	NULL	ENSG00000226362
ENST00000427537	unprocessed_pseudogene	26081100	26086248	NULL	NULL	ENSG00000226369
ENST00000411487	unprocessed_pseudogene	19833478	19835057	NULL	NULL	ENSG00000226449
ENST00000423409	processed_pseudogene	23069230	23069448	NULL	NULL	ENSG00000226504
ENST00000445453	processed_pseudogene	8239704	8240071	NULL	NULL	ENSG00000226529
ENST00000455254	processed_pseudogene	16750976	16752238	NULL	NULL	ENSG00000226555
